year,month,rain_mm
1981,3,203.3109893798828
1981,4,205.2519989013672
1981,5,103.97734069824219
1982,3,51.417381286621094
1982,4,163.56201171875
1982,5,118.80451202392578
1983,3,39.498043060302734
1983,4,98.15108489990234
1983,5,81.66647338867188
1984,3,31.866857528686523
1984,4,114.66426849365234
1984,5,47.64179611206055
1985,3,108.70134735107422
1985,4,173.76914978027344
1985,5,88.11475372314453
1986,3,73.18973541259766
1986,4,185.0755615234375
1986,5,92.31525421142578
1987,3,66.45231628417969
1987,4,125.82164764404297
1987,5,127.38621520996094
1988,3,106.01640319824219
1988,4,196.62527465820312
1988,5,49.70659637451172
1989,3,93.4177017211914
1989,4,162.9355926513672
1989,5,95.65634155273438
1990,3,164.9835662841797
1990,4,192.96986389160156
1990,5,60.0944938659668
1991,3,82.74345397949219
1991,4,106.49605560302734
1991,5,116.40383911132812
1992,3,34.96054458618164
1992,4,147.91888427734375
1992,5,71.83856964111328
1993,3,37.96153259277344
1993,4,71.0992660522461
1993,5,101.88867950439453
1994,3,73.13502502441406
1994,4,119.42755889892578
1994,5,84.6080093383789
1995,3,87.5142593383789
1995,4,136.7784881591797
1995,5,75.27938079833984
1996,3,96.93192291259766
1996,4,85.2394790649414
1996,5,77.80657196044922
1997,3,68.26659393310547
1997,4,231.93080139160156
1997,5,87.32160186767578
1998,3,59.96122741699219
1998,4,140.1509246826172
1998,5,123.07903289794922
1999,3,132.43185424804688
1999,4,99.92628479003906
1999,5,46.48866653442383
2000,3,43.646751403808594
2000,4,62.17765808105469
2000,5,60.8002815246582
2001,3,83.98728942871094
2001,4,117.04247283935547
2001,5,58.054115295410156
2002,3,90.58090209960938
2002,4,152.53900146484375
2002,5,88.30886840820312
2003,3,55.07780456542969
2003,4,149.3038330078125
2003,5,113.44984436035156
2004,3,51.304866790771484
2004,4,138.01853942871094
2004,5,44.40534973144531
2005,3,61.37027359008789
2005,4,98.52418518066406
2005,5,123.43218231201172
2006,3,83.23138427734375
2006,4,169.5924530029297
2006,5,82.67787170410156
2007,3,54.21577835083008
2007,4,105.71385955810547
2007,5,92.26483917236328
2008,3,113.89766693115234
2008,4,99.63898468017578
2008,5,54.1203727722168
2009,3,33.362667083740234
2009,4,93.49346923828125
2009,5,78.75828552246094
2010,3,143.30235290527344
2010,4,121.75332641601562
2010,5,99.30432891845703
2011,3,66.37786102294922
2011,4,57.04090881347656
2011,5,61.67417907714844
2012,3,32.90005111694336
2012,4,158.4606170654297
2012,5,100.94393157958984
2013,3,137.49462890625
2013,4,191.38949584960938
2013,5,61.20426940917969
2014,3,99.9836654663086
2014,4,73.73714447021484
2014,5,71.49002075195312
2015,3,48.02821731567383
2015,4,174.82350158691406
2015,5,86.43661499023438
2016,3,45.26785659790039
2016,4,177.50372314453125
2016,5,75.1415023803711
2017,3,42.65387725830078
2017,4,87.55751037597656
2017,5,89.58038330078125
2018,3,197.60215759277344
2018,4,264.025390625
2018,5,112.15728759765625
2019,3,37.000606536865234
2019,4,109.80746459960938
2019,5,86.35414123535156
2020,3,166.48695373535156
2020,4,208.60719299316406
2020,5,68.34713745117188
2021,3,45.71388244628906
2021,4,116.73561096191406
2021,5,112.96208953857422
2022,3,40.44683074951172
2022,4,103.88118743896484
2022,5,68.27178192138672
2023,3,133.419677734375
2023,4,198.1699676513672
2023,5,53.22616195678711
2024,3,57.19349670410156
2024,4,220.3303985595703
2024,5,102.2181396484375
2025,3,125.14053344726562
2025,4,147.79734802246094
2025,5,96.60621643066406
